_date, average_price , total_volume ,_4046,_4225,_4770 ,total_bags,type,year,geography
10/01/2021 0:00,1.22,"475,911.03",186130.62,286565.86,3214.55,390787.05,conventional,2021,Baltimore/Washington
10/01/2021 0:00,1.34,"3,741.35",629.41,3108.48,3.46,69182.66,organic,2021,Baltimore/Washington
17/01/2021 0:00,1.16,"593,570.96",254348.42,335621.82,3600.72,388151.39,conventional,2021,Baltimore/Washington
17/01/2021 0:00,1.31,"4,431.86",752.27,3676.14,3.45,68853.86,organic,2021,Baltimore/Washington
24/01/2021 0:00,1.16,"518,583.17",221628.58,292342.95,4611.64,390518.98,conventional,2021,Baltimore/Washington
24/01/2021 0:00,1.27,"4,008.16",589.4,3411.84,6.91,72284.94,organic,2021,Baltimore/Washington
31/01/2021 0:00,1.05,"616,057.10",260256.35,352233.57,3567.18,520569.71,conventional,2021,Baltimore/Washington
31/01/2021 0:00,1.26,"4,011.64",463.05,3537.08,11.51,80207.53,organic,2021,Baltimore/Washington
07/02/2021 0:00,1.07,"624,237.58",286144.83,334259.58,3833.17,484721.54,conventional,2021,Baltimore/Washington
07/02/2021 0:00,1.26,"4,262.58",556.21,3696.01,10.37,74608.89,organic,2021,Baltimore/Washington
14/02/2021 0:00,1.06,"592,885.09",267135.83,322342.68,3406.58,427860.58,conventional,2021,Baltimore/Washington
14/02/2021 0:00,1.24,"4,192.82",437.18,3755.64,0,75360.39,organic,2021,Baltimore/Washington
21/02/2021 0:00,1.16,"537,395.08",235373.34,298041.23,3980.51,342282.06,conventional,2021,Baltimore/Washington
21/02/2021 0:00,1.27,"3,818.43",475.56,3335.96,6.91,77243.45,organic,2021,Baltimore/Washington
28/02/2021 0:00,1.22,"499,071.68",211414.47,283820.78,3836.43,390473.34,conventional,2021,Baltimore/Washington
28/02/2021 0:00,1.13,"4,022.77",399.04,3612.24,11.49,85091.84,organic,2021,Baltimore/Washington
07/03/2021 0:00,1.21,"467,606.47",201533.96,262844.05,3228.46,467063.12,conventional,2021,Baltimore/Washington
07/03/2021 0:00,1.2,"3,569.24",546.5,3018.12,4.61,83744.94,organic,2021,Baltimore/Washington
14/03/2021 0:00,1.15,"602,816.85",272872.01,326474.91,3469.93,387890.81,conventional,2021,Baltimore/Washington
