_date, average_price , total_volume ,_4046,_4225,_4770,total_bags,type,year,geography
09/01/2022 0:00, 0.96 ," 51,851.84 ",43325.67,8490.12,36.06,33498.58,conventional,2022,Louisville
03/01/2022 0:00, 0.89 ," 50,954.73 ",39316.71,11563.42,74.61,30013.25,conventional,2022,Louisville
23/01/2022 0:00, 1.32 ," 413,869.33 ",388433.99,25259.84,175.5,221466.38,conventional,2022,Miami/Ft. Lauderdale
16/01/2022 0:00, 1.30 ," 444,181.89 ",417877.19,26109.81,194.89,224200.31,conventional,2022,Miami/Ft. Lauderdale
09/01/2022 0:00, 1.28 ," 457,828.79 ",429280.15,28383.49,165.14,215348.63,conventional,2022,Miami/Ft. Lauderdale
03/01/2022 0:00, 1.10 ," 503,026.68 ",472660.02,30186.47,180.09,210801.1,conventional,2022,Miami/Ft. Lauderdale
23/01/2022 0:00, 1.22 ," 103,083.45 ",94695.31,8367.78,20.35,78434.36,conventional,2022,Nashville
16/01/2022 0:00, 1.18 ," 122,884.17 ",109463.96,13357.73,62.48,101911.45,conventional,2022,Nashville
09/01/2022 0:00, 1.12 ," 120,653.17 ",108173.11,12425.92,54.14,81562.8,conventional,2022,Nashville
03/01/2022 0:00, 0.99 ," 124,572.78 ",114838.61,9627.56,106.6,80585.71,conventional,2022,Nashville
23/01/2022 0:00, 1.19 ," 358,592.54 ",160631.53,197917.81,43.21,100998.02,conventional,2022,Northern New England
16/01/2022 0:00, 1.19 ," 357,486.01 ",164759.63,192718.83,7.56,99825.5,conventional,2022,Northern New England
09/01/2022 0:00, 1.29 ," 337,178.86 ",152072.66,185087.01,19.19,92114.14,conventional,2022,Northern New England
03/01/2022 0:00, 1.05 ," 479,776.03 ",224753.86,255004.48,17.7,70021.8,conventional,2022,Northern New England
23/01/2022 0:00, 1.04 ," 141,801.60 ",124732,16990.6,79.01,132696.86,conventional,2022,New Orleans/Mobile
16/01/2022 0:00, 1.02 ," 143,304.87 ",125347.74,17863.71,93.43,120447.66,conventional,2022,New Orleans/Mobile
09/01/2022 0:00, 1.00 ," 128,557.78 ",110585.51,17908.25,64.03,126939.78,conventional,2022,New Orleans/Mobile
03/01/2022 0:00, 0.90 ," 119,104.05 ",103783.64,15256.24,64.16,133343.94,conventional,2022,New Orleans/Mobile
23/01/2022 0:00, 1.52 ," 1,022,219.67 ",392021.25,629892.99,305.44,647515.84,conventional,2022,New York
16/01/2022 0:00, 1.41 ," 1,382,585.95 ",719441.27,662738.59,406.09,660847.84,conventional,2022,New York
09/01/2022 0:00, 1.46 ," 1,057,342.59 ",412167.89,644816.3,358.4,624854.4,conventional,2022,New York
